"","model","inference","replicate","height","ntaxa","r_mse","N_mse","N_true_sum","true positive","true negative","false negative","false positive","false positive rate","true positive rate","false negative rate","true negative rate","prop_error_geomean_lambda","prop_error_mean_lambda","prop_error_geomean_mu","prop_error_mean_mu","arithmetic_error_netdiv","criterion"
"58",1,"true_all",20,25,15,0.000134354563042425,2.14547291200926e-05,0,0,28,0,0,0,NA,NA,1,1.28977829177408,1.28977833720507,1.28977829177408,1.28977833720507,0.0115911334882027,"N_over_half"
"59",1,"true_all",20,25,15,0.000134354563042425,2.14547291200926e-05,0,0,28,0,0,0,NA,NA,1,1.28977829177408,1.28977833720507,1.28977829177408,1.28977833720507,0.0115911334882027,"bayes_factor_10"
"60",1,"true_all",20,25,15,0.000134354563042425,2.14547291200926e-05,0,0,28,0,0,0,NA,NA,1,1.28977829177408,1.28977833720507,1.28977829177408,1.28977833720507,0.0115911334882027,"N_half_and_bayes_factor"
"61",1,"true_all",21,25,9,5.34414241764151e-05,4.42265595944056e-05,0,0,16,0,0,0,NA,NA,1,1.18275896771473,1.18275898596212,1.18275896771473,1.18275898596212,0.00731035943848476,"N_over_half"
"62",1,"true_all",21,25,9,5.34414241764151e-05,4.42265595944056e-05,0,0,16,0,0,0,NA,NA,1,1.18275896771473,1.18275898596212,1.18275896771473,1.18275898596212,0.00731035943848476,"bayes_factor_10"
"63",1,"true_all",21,25,9,5.34414241764151e-05,4.42265595944056e-05,0,0,16,0,0,0,NA,NA,1,1.18275896771473,1.18275898596212,1.18275896771473,1.18275898596212,0.00731035943848476,"N_half_and_bayes_factor"
"64",1,"true_all",22,25,9,8.39308201660306e-05,3.30330328889562e-05,0,0,16,0,0,0,NA,NA,1,1.22903411489796,1.22903416181562,1.22903411489796,1.22903416181562,0.00916136647262469,"N_over_half"
"65",1,"true_all",22,25,9,8.39308201660306e-05,3.30330328889562e-05,0,0,16,0,0,0,NA,NA,1,1.22903411489796,1.22903416181562,1.22903411489796,1.22903416181562,0.00916136647262469,"bayes_factor_10"
"66",1,"true_all",22,25,9,8.39308201660306e-05,3.30330328889562e-05,0,0,16,0,0,0,NA,NA,1,1.22903411489796,1.22903416181562,1.22903411489796,1.22903416181562,0.00916136647262469,"N_half_and_bayes_factor"
"67",1,"true_all",23,25,13,6.57953820158558e-05,3.80046553389556e-05,0,0,24,0,0,0,NA,NA,1,1.20278509882651,1.2027852117469,1.20278509882651,1.2027852117469,0.00811140846987615,"N_over_half"
